"";"TIME";"ppm";"tAnom"
"1";1850;284,316999854786;-0,373
"2";1851;284,450999849332;-0,218
"3";1852;284,597999840503;-0,228
"4";1853;284,730999828568;-0,269
"5";1854;284,845999805949;-0,248
"6";1855;284,940999795651;-0,272
"7";1856;285,048999782585;-0,358
"8";1857;285,20399977284;-0,461
"9";1858;285,368999765324;-0,467
"10";1859;285,54499975018;-0,284
"11";1860;285,73899972727;-0,343
"12";1861;285,932999712095;-0,407
"13";1862;286,099999702022;-0,524
"14";1863;286,270999683975;-0,278
"15";1864;286,441999662368;-0,494
"16";1865;286,613999643223;-0,279
"17";1866;286,780999627782;-0,251
"18";1867;286,954999606091;-0,321
"19";1868;287,104999589739;-0,238
"20";1869;287,224999569047;-0,262
"21";1870;287,354999554298;-0,276
"22";1871;287,493999528791;-0,335
"23";1872;287,663999490614;-0,227
"24";1873;287,859999466552;-0,304
"25";1874;288,060999474767;-0,368
"26";1875;288,29099944873;-0,395
"27";1876;288,51999943517;-0,384
"28";1877;288,751999423484;-0,075
"29";1878;288,992999412669;0,035
"30";1879;289,220999376783;-0,23
"31";1880;289,469999320198;-0,227
"32";1881;289,736999291098;-0,2
"33";1882;290,018999256594;-0,213
"34";1883;290,262999219848;-0,296
"35";1884;290,511999204707;-0,409
"36";1885;290,796999194397;-0,389
"37";1886;291,099999177286;-0,367
"38";1887;291,41399913878;-0,418
"39";1888;291,762999076226;-0,307
"40";1889;292,11299905472;-0,171
"41";1890;292,457998994675;-0,416
"42";1891;292,815998952761;-0,33
"43";1892;293,166998939368;-0,455
"44";1893;293,47699893819;-0,473
"45";1894;293,790998906272;-0,41
"46";1895;294,07899885431;-0,39
"47";1896;294,364998814724;-0,186
"48";1897;294,645998765603;-0,206
"49";1898;294,953998697529;-0,412
"50";1899;295,29999857844;-0,289
"51";1900;295,674998441674;-0,203
"52";1901;296,00699796647;-0,259
"53";1902;296,324997426966;-0,402
"54";1903;296,65399683721;-0,479
"55";1904;296,953996304816;-0,52
"56";1905;297,288995727878;-0,377
"57";1906;297,661995136884;-0,283
"58";1907;298,097994484458;-0,465
"59";1908;298,517994006017;-0,511
"60";1909;298,935993455404;-0,522
"61";1910;299,376992880373;-0,49
"62";1911;299,828992337281;-0,544
"63";1912;300,352991748678;-0,437
"64";1913;300,909991143806;-0,424
"65";1914;301,418990778864;-0,244
"66";1915;301,936990306897;-0,141
"67";1916;302,484989686417;-0,383
"68";1917;303,010989101134;-0,468
"69";1918;303,448988649144;-0,333
"70";1919;303,813988334742;-0,275
"71";1920;304,245987680735;-0,247
"72";1921;304,599987339398;-0,187
"73";1922;304,944986769602;-0,302
"74";1923;305,270986051848;-0,276
"75";1924;305,629985518364;-0,294
"76";1925;305,812985014455;-0,215
"77";1926;305,953984520879;-0,108
"78";1927;306,17698387194;-0,21
"79";1928;306,32898332411;-0,206
"80";1929;306,49498271638;-0,35
"81";1930;306,619982384951;-0,137
"82";1931;306,821982136992;-0,087
"83";1932;307,092981823192;-0,137
"84";1933;307,401981252789;-0,273
"85";1934;307,784980593634;-0,131
"86";1935;308,226979962101;-0,178
"87";1936;309,011979254044;-0,147
"88";1937;309,763978615855;-0,026
"89";1938;310,293978204746;-0,006
"90";1939;310,850977584352;-0,052
"91";1940;311,356976868613;0,014
"92";1941;311,810976277388;0,02
"93";1942;312,171975739582;-0,027
"94";1943;312,389975175671;-0,004
"95";1944;312,412974751704;0,144
"96";1945;312,384974608474;0,025
"97";1946;312,389973964515;-0,071
"98";1947;312,485973184282;-0,038
"99";1948;312,520972534148;-0,039
"100";1949;312,631972055313;-0,074
"101";1950;312,820971341375;-0,173
"102";1951;313,013970606384;-0,052
"103";1952;313,341970021567;0,028
"104";1953;313,729969427623;0,097
"105";1954;314,094968812929;-0,129
"106";1955;314,414967972057;-0,19
"107";1956;314,697967186718;-0,267
"108";1957;314,991966523988;-0,007
"109";1958;315,344965869144;0,046
"110";1959;315,806965123165;0,017
"111";1960;316,624964386756;-0,049
"112";1961;317,298963809512;0,038
"113";1962;318,04396307864;0,014
"114";1963;318,649962239874;0,048
"115";1964;319,332961369615;-0,223
"116";1965;319,81596053691;-0,14
"117";1966;320,879959686665;-0,068
"118";1967;321,47995890516;-0,074
"119";1968;322,3889580037;-0,113
"120";1969;323,250956989202;0,032
"121";1970;324,782955890747;-0,027
"122";1971;325,39995498503;-0,186
"123";1972;327,348954070199;-0,065
"124";1973;329,908953093573;0,062
"125";1974;330,755952523015;-0,214
"126";1975;330,82695199787;-0,149
"127";1976;331,544950979425;-0,241
"128";1977;333,352950094921;0,047
"129";1978;335,009949359192;-0,062
"130";1979;336,604948354699;0,057
"131";1980;338,704947929881;0,092
"132";1981;340,058947763205;0,14
"133";1982;340,643947400165;0,011
"134";1983;342,2659472636;0,194
"135";1984;344,007949547893;-0,014
"136";1985;345,458953765196;-0,03
"137";1986;346,902948106277;0,045
"138";1987;348,774947372746;0,192
"139";1988;351,27593294684;0,198
"140";1989;352,893921398144;0,118
"141";1990;354,072930058664;0,296
"142";1991;355,352934851413;0,254
"143";1992;356,228948924151;0,105
"144";1993;356,924958862818;0,148
"145";1994;358,253962204395;0,208
"146";1995;360,238956449842;0,325
"147";1996;362,004961459705;0,183
"148";1997;363,251961810396;0,39
"149";1998;365,932958019731;0,539
"150";1999;367,844974784876;0,306
"151";2000;369,124980031739;0,294
"152";2001;370,672990098631;0,441
"153";2002;372,834994284113;0,496
"154";2003;375,410995033953;0,505
"155";2004;376,987002498738;0,447
"156";2005;378,907004978159;0,545
"157";2006;381,010006959774;0,506
"158";2007;382,603024683866;0,491
"159";2008;384,73901862778;0,395
"160";2009;386,28001904393;0,506
"161";2010;388,717029278483;0,56
"162";2011;390,944014691326;0,425
"163";2012;393,015992715853;0,47
"164";2013;395,724979344097;0,514
"165";2014;397,546976931623;0,579
"166";2015;401,01;0,763
"167";2016;404,41;0,797
"168";2017;406,76;0,677
"169";2018;408,72;0,597
"170";2019;411,66;0,736
