Mesocosm ID,FG,Comp,Nstroage,Cstorage,AGB,Year
A1,2,FR,4.929653682,278.4328639,231.2926829,2015
A1,2,FR,8.197352055,291.647447,424.2195122,2016
A2,3,FRT,4.800583867,257.5831735,264.2195122,2015
A2,3,FRT,6.403641196,265.3881229,192.4146341,2016
A3,1,T,6.303395195,645.1149566,540.0487805,2015
A3,1,T,4.925131311,350.1368882,458.7560976,2016
A5,2,RT,6.980655536,359.0879106,242.8780488,2015
A5,2,RT,5.084977364,264.5022185,184.804878,2016
A6,1,R,5.457483283,211.2542205,261.3170732,2015
A6,1,R,4.801121069,230.3140292,247.9268293,2016
A8,1,T,8.636617152,461.326494,615.6585366,2015
A8,1,T,3.675447911,228.1151187,329.6829268,2016
B1,2,RT,5.75548215,352.6031462,421.4390244,2015
B1,2,RT,14.25859923,674.2931939,365.7317073,2016
B2,1,F,2.111863268,84.91327566,6.780487805,2015
B2,1,F,2.425218063,103.8514299,1.195121951,2016
B3,2,FT,4.233477085,336.9471716,270,2015
B3,2,FT,3.397549207,186.9825042,317.7560976,2016
B4,1,T,3.615506369,326.5798462,323.804878,2015
B4,1,T,5.512911513,335.9406869,543.0487805,2016
B5,1,R,4.032946956,262.8906353,206.6341463,2015
B5,1,R,6.669320182,296.4220453,247.5121951,2016
B6,1,T,6.570896185,463.3371396,579.4390244,2015
B6,1,T,3.977102139,378.4446173,677.6829268,2016
B7,2,FR,4.369815526,253.1230435,226.6097561,2015
B7,2,FR,6.511825016,333.4544682,217.6097561,2016
B8,2,FR,8.938911962,402.395471,217.7804878,2015
B8,2,FR,3.226577521,136.2342461,170.5609756,2016
C1,2,RT,9.13687196,433.8850605,313.7804878,2015
C1,2,RT,4.107576596,273.0164842,181.097561,2016
C2,2,RT,12.32684051,598.5496174,374.804878,2015
C2,2,RT,4.159773554,219.7226934,313.195122,2016
C3,2,FT,3.064322491,129.389182,52.09756098,2015
C3,2,FT,1.043146509,48.61224545,67.70731707,2016
C4,2,FT,10.49407758,515.0521952,562.2926829,2015
C4,2,FT,3.319753943,175.5237273,321.5121951,2016
C5,3,FRT,10.00127474,445.2027517,303.4390244,2015
C5,3,FRT,9.782848937,491.4090625,447.3170732,2016
C7,2,FT,15.25882733,820.8314484,500.804878,2015
C7,2,FT,5.231082982,380.7965581,634.3902439,2016
C8,2,FT,9.579974515,467.7617653,380.9268293,2015
C8,2,FT,3.365138961,224.2000762,365.2926829,2016
D2,1,R,10.72103488,471.2032773,567.0243902,2015
D2,1,R,4.917136274,255.7647922,176.2195122,2016
D3,1,T,6.470635757,340.7008483,450.7560976,2015
D3,1,T,8.261109552,668.6172028,381.0487805,2016
D4,3,FRT,5.728104195,361.6443652,193.6585366,2015
D4,3,FRT,4.315278998,244.253981,219.3170732,2016
D6,2,FR,9.303030698,408.4295676,342.3902439,2015
D6,2,FR,7.152978828,361.3707613,394.1463415,2016
D7,1,F,2.030042425,120.5449179,1.853658537,2015
D7,1,F,1.462202139,95.70642099,1.048780488,2016
D8,1,R,8.051781128,367.8987357,337.3170732,2015
D8,1,R,6.675132286,320.3923282,410.2195122,2016
E3,3,FRT,14.74604774,702.0462109,644.1219512,2015
E3,3,FRT,7.631920609,351.0076831,574.6585366,2016
E4,3,FRT,8.245934072,401.1485689,292.6097561,2015
E4,3,FRT,4.548506816,201.0352201,312.902439,2016
E5,2,FR,7.791642146,330.1451292,244.8780488,2015
E5,2,FR,5.281272898,231.6163438,430.6097561,2016
E6,2,RT,5.752095213,183.8457242,265.9756098,2015
E6,2,RT,4.908812811,178.2297579,225.2195122,2016
E9,1,F,3.859832361,260.9631648,8.585365854,2015
E9,1,F,10.10450947,486.4677897,6.682926829,2016